Wall time,Step,Value
1537997291.3282013,3,26.91262435913086
1537997291.40641,5,23.322492599487305
1537997291.4442666,6,21.08157730102539
1537997291.518443,8,17.535175323486328
1537997291.5912013,10,15.97996997833252
1537997291.6293685,11,14.38406753540039
1537997291.667519,12,12.59708023071289
1537997291.704228,13,13.586199760437012
1537997291.7417448,14,12.91220474243164
1537997291.7764506,15,13.581062316894531
1537997291.8148289,16,12.674500465393066
1537997291.852794,17,11.25240421295166
1537997291.8898423,18,11.089593887329102
1537997291.9275105,19,11.734060287475586
1537997291.9647906,20,10.586477279663086
1537997292.0388696,22,10.949845314025879
1537997292.112818,24,10.187633514404297
1537997292.1510715,25,9.21304988861084
1537997292.3373654,30,7.841104030609131
1537997292.374491,31,7.824800491333008
1537997292.4134524,32,6.769209861755371
1537997292.4504013,33,8.183249473571777
1537997292.4873476,34,7.052272796630859
1537997292.5618975,36,7.357011318206787
1537997292.6739693,39,6.568543434143066
1537997292.7123437,40,6.086407661437988
1537997292.787413,42,6.01129150390625
1537997292.8254564,43,6.552855491638184
1537997292.862965,44,5.905391693115234
1537997292.8984945,45,6.106093406677246
1537997292.9738586,47,5.294159412384033
1537997293.050497,49,5.143610000610352
1537997293.0886877,50,5.063713073730469
1537997293.2002904,53,5.333482265472412
1537997293.2384422,54,5.224438667297363
1537997293.2760372,55,4.881856441497803
1537997293.3138046,56,5.406620502471924
1537997293.351383,57,4.33817720413208
1537997293.4639375,60,4.380061626434326
1537997293.500806,61,4.741244316101074
1537997293.5750985,63,4.290154933929443
1537997293.6486108,65,4.292864799499512
1537997293.6876807,66,4.22687292098999
1537997293.7227852,67,4.313443183898926
1537997293.760812,68,4.495579719543457
1537997293.7975836,69,3.6600985527038574
1537997293.8743017,71,4.474750995635986
1537997293.9116871,72,3.963038921356201
1537997293.948816,73,3.6006557941436768
1537997293.983629,74,3.522118330001831
1537997294.0585022,76,3.995204210281372
1537997294.1345267,78,4.135669708251953
1537997294.1730738,79,4.2421159744262695
1537997294.2484286,81,3.7219035625457764
1537997294.3602295,84,3.7160720825195312
1537997294.3987777,85,4.144769191741943
1537997294.4364333,86,3.360121965408325
1537997294.4756663,87,3.253483533859253
1537997294.5151477,88,3.6894023418426514
1537997294.5527492,89,3.6173300743103027
1537997294.6287208,91,3.2326831817626953
1537997294.7427304,94,3.1774303913116455
1537997294.9281955,99,3.223842144012451
1537997295.0410051,102,3.249452829360962
1537997295.1171677,104,3.321871519088745
1537997295.153081,105,3.1536121368408203
1537997295.1920168,106,3.0891590118408203
1537997295.4456978,113,3.124250650405884
1537997295.5568225,116,3.0719006061553955
1537997295.6319902,118,2.95159649848938
1537997295.6683865,119,2.7854084968566895
1537997295.7048976,120,2.5761613845825195
1537997295.857257,124,2.505880117416382
1537997295.893973,125,2.396103620529175
1537997295.9313354,126,2.5700604915618896
1537997296.0447803,129,2.501694440841675
1537997296.0819314,130,2.233422040939331
1537997296.194121,133,2.4016525745391846
1537997296.3493154,137,2.4619319438934326
1537997296.4244995,139,2.219729423522949
1537997296.4985147,141,2.2627434730529785
1537997296.5385826,142,2.0722756385803223
1537997296.5744615,143,2.249361991882324
1537997296.6143396,144,2.1993207931518555
1537997296.6510358,145,2.7116031646728516
1537997296.6879895,146,2.2018883228302
1537997296.7633848,148,2.364098310470581
1537997296.8377955,150,2.3342485427856445
1537997296.950755,153,2.21496844291687
1537997296.9891863,154,2.207021713256836
1537997297.0255785,155,2.34633731842041
1537997297.100657,157,2.0311713218688965
1537997297.1398587,158,2.2545204162597656
1537997297.1757624,159,2.363740921020508
1537997297.250095,161,2.1654770374298096
1537997297.2888103,162,2.3217358589172363
1537997297.3654711,164,2.619859218597412
1537997297.4023983,165,2.2623443603515625
1537997297.477839,167,1.9702155590057373
1537997297.514935,168,2.026681661605835
1537997297.5539548,169,1.9313992261886597
1537997297.6248198,171,1.8288180828094482
1537997297.7726228,175,1.9684990644454956
1537997297.80977,176,2.0915820598602295
1537997297.8467126,177,1.7920560836791992
1537997297.8842757,178,1.9878736734390259
1537997297.96395,180,2.2481017112731934
1537997297.9985368,181,1.99178946018219
1537997298.0727491,183,1.7582364082336426
1537997298.1465232,185,1.7426365613937378
1537997298.183901,186,1.8632421493530273
1537997298.2208607,187,1.9513864517211914
1537997298.2620826,188,2.408956289291382
1537997298.3349657,190,1.8339225053787231
1537997298.3741531,191,2.1365652084350586
1537997298.6324825,198,1.788041591644287
1537997298.9433568,202,1.826418161392212
1537997299.0937963,206,1.735741138458252
1537997299.1310132,207,1.4546191692352295
1537997299.1687887,208,1.4799859523773193
1537997299.3180554,212,1.6034660339355469
1537997299.3579454,213,1.3150676488876343
1537997299.394231,214,1.443751335144043
1537997299.4330199,215,1.6614362001419067
1537997299.543681,218,1.407592535018921
1537997299.580764,219,1.5090523958206177
1537997299.655057,221,1.578456997871399
1537997299.6943333,222,1.6668312549591064
1537997299.7307355,223,1.5525479316711426
1537997299.8049965,225,1.3091554641723633
1537997299.8420913,226,1.315373420715332
1537997299.881824,227,1.5865613222122192
1537997299.9570563,229,1.5543209314346313
1537997299.9952269,230,1.4567646980285645
1537997300.0341697,231,1.3928983211517334
1537997300.0729156,232,1.5060174465179443
1537997300.1110985,233,1.3513355255126953
1537997300.1482127,234,1.4850115776062012
1537997300.2610383,237,1.5588706731796265
1537997300.300636,238,1.4450180530548096
1537997300.3761687,240,1.5459429025650024
1537997300.5278838,244,1.4847886562347412
1537997300.567237,245,1.403948426246643
1537997300.6433122,247,1.2358647584915161
1537997300.6811264,248,1.2326068878173828
1537997300.7186146,249,1.4032033681869507
1537997300.7562666,250,1.354583740234375
1537997300.7945428,251,1.479568600654602
1537997300.942777,255,1.2709908485412598
1537997301.0556827,258,1.4256517887115479
1537997301.09184,259,1.2592276334762573
1537997301.130905,260,1.6346807479858398
1537997301.1673167,261,1.329016923904419
1537997301.2429554,263,1.3363748788833618
1537997301.3907714,267,1.3389140367507935
1537997301.4656315,269,1.458813190460205
1537997301.5377777,271,1.2034049034118652
1537997301.5754066,272,1.0817532539367676
1537997301.61389,273,1.2757196426391602
1537997301.6515853,274,1.1519012451171875
1537997301.6934996,275,1.223001480102539
1537997301.7672365,277,1.1507844924926758
1537997301.8050048,278,1.1400082111358643
1537997301.8787992,280,1.2989667654037476
1537997301.952842,282,1.2021842002868652
1537997302.0283518,284,1.2336219549179077
1537997302.2181375,289,1.1395742893218994
1537997302.2902188,291,1.1754549741744995
1537997302.3253148,292,1.2046821117401123
1537997302.437179,295,1.141920566558838
1537997302.4755857,296,1.1054508686065674
1537997302.5143738,297,1.113953709602356
1537997302.5526655,298,1.1170004606246948
1537997302.5909345,299,1.3333829641342163
1537997302.628659,300,1.1425881385803223
1537997302.6674888,301,1.1802678108215332
1537997302.709009,302,1.085112452507019
1537997302.7450728,303,1.1233950853347778
1537997302.8981118,307,1.1728770732879639
1537997302.9356,308,1.0729637145996094
1537997303.010999,310,1.201589822769165
1537997303.1269057,313,0.9966037273406982
1537997303.2774408,317,0.9863722324371338
1537997303.3154743,318,1.0180081129074097
1537997303.3528953,319,1.0020995140075684
1537997303.3913007,320,1.0736017227172852
1537997303.4650357,322,0.9471156001091003
1537997303.5379748,324,0.9439253211021423
1537997303.5760233,325,1.0325993299484253
1537997303.6121309,326,1.1640843152999878
1537997303.6474197,327,1.0225093364715576
1537997303.7588086,330,1.0264999866485596
1537997303.795452,331,1.1020795106887817
1537997303.8723197,333,1.2062625885009766
1537997304.023221,337,1.0576040744781494
1537997304.09806,339,1.1085362434387207
1537997304.1743658,341,1.1787835359573364
1537997304.2131119,342,0.9298285841941833
1537997304.249996,343,0.9697551727294922
1537997304.2879212,344,1.0215566158294678
1537997304.3269327,345,0.9825257658958435
1537997304.4015524,347,0.9474905729293823
1537997304.442517,348,0.9550517797470093
1537997304.5566397,351,1.2089552879333496
1537997304.6349611,353,0.9136476516723633
1537997304.6720827,354,1.193367838859558
1537997304.746753,356,0.8446900844573975
1537997304.8202596,358,0.9837371706962585
1537997304.8572836,359,1.0857720375061035
1537997304.897846,360,1.117389440536499
1537997304.9701328,362,1.0667256116867065
1537997305.0075498,363,1.0035865306854248
1537997305.0478868,364,1.1431015729904175
1537997305.0859656,365,1.0553234815597534
1537997305.1631083,367,0.9612909555435181
1537997305.198584,368,1.0480897426605225
1537997305.2751162,370,1.1028683185577393
1537997305.3141842,371,0.7273424863815308
1537997305.3883557,373,1.0490647554397583
1537997305.465948,375,1.1971110105514526
1537997305.5036583,376,0.7863088846206665
1537997305.5412908,377,0.9155296087265015
1537997305.5799406,378,0.9235950708389282
1537997305.6168005,379,0.7350008487701416
1537997305.6940541,381,0.9468833208084106
1537997305.7305954,382,0.8159949779510498
1537997305.842834,385,0.8074797987937927
1537997305.8821847,386,0.8702076077461243
1537997305.9190564,387,0.9576365947723389
1537997305.9556558,388,0.8833950757980347
1537997306.0317953,390,0.7950986623764038
1537997306.0689073,391,0.8013980388641357
1537997306.107887,392,0.9056106805801392
1537997306.1452072,393,0.8955234885215759
1537997306.3364959,398,0.7695759534835815
1537997306.64813,402,0.8536502122879028
1537997306.6860888,403,0.9037342071533203
1537997306.7596152,405,1.0018854141235352
1537997306.7972279,406,0.7708670496940613
1537997306.8694673,408,0.8982770442962646
1537997307.1341493,415,0.8089173436164856
1537997307.1716092,416,0.8145648241043091
1537997307.2901576,419,0.9292312860488892
1537997307.3285155,420,0.8492355346679688
1537997307.3673618,421,0.793228805065155
1537997307.4055047,422,0.7892568111419678
1537997307.481432,424,0.7339730262756348
1537997307.5576982,426,0.7014449834823608
1537997307.6328642,428,0.7184146046638489
1537997307.7064483,430,0.9045542478561401
1537997307.78089,432,0.8182684183120728
1537997307.8921182,435,0.7011169195175171
1537997308.0408926,439,0.7690048813819885
1537997308.080145,440,0.8188923001289368
1537997308.1161106,441,0.8085675835609436
1537997308.1522503,442,0.6856856942176819
1537997308.2252958,444,0.7567856907844543
1537997308.2623343,445,0.8941324949264526
1537997308.3763044,448,0.9111875295639038
1537997308.414216,449,0.7600336074829102
1537997308.4907658,451,0.8353666663169861
1537997308.6034281,454,0.5774670839309692
1537997308.7186377,457,0.8241579532623291
1537997308.755887,458,0.6659207940101624
1537997308.795191,459,0.6361376047134399
1537997308.8351753,460,0.6898788213729858
1537997308.873051,461,0.8129374384880066
1537997308.9476712,463,0.776290774345398
1537997308.9857323,464,0.7018343806266785
1537997309.023061,465,0.8761886954307556
1537997309.0631344,466,0.8613383173942566
1537997309.101232,467,0.7408533692359924
1537997309.1395988,468,0.761799156665802
1537997309.1785877,469,0.6314719915390015
1537997309.2503552,471,0.769239068031311
1537997309.325932,473,0.7089294195175171
1537997309.3643646,474,0.5723154544830322
1537997309.4794366,477,0.6696197390556335
1537997309.518356,478,0.7825199365615845
1537997309.6679542,482,0.7703772783279419
1537997309.7812264,485,0.7116891741752625
1537997309.8187075,486,0.7941499948501587
1537997309.8948047,488,0.8141934275627136
1537997309.933263,489,0.508240818977356
1537997310.008594,491,0.6156450510025024
1537997310.083458,493,0.6561732292175293
1537997310.1967392,496,0.7503562569618225
1537997310.2341502,497,0.7034856081008911
1537997310.462083,503,0.7192078828811646
1537997310.5774543,506,0.7690371870994568
1537997310.6138964,507,0.5841924548149109
1537997310.651223,508,0.6139683127403259
1537997310.7271564,510,0.6510307788848877
1537997310.7669063,511,0.7391508221626282
1537997310.8028936,512,0.5085937976837158
1537997310.876475,514,0.7480806112289429
