Wall time,Step,Value
1537997291.3282013,3,0.11400000005960464
1537997291.40641,5,0.10999999940395355
1537997291.4442666,6,0.09000000357627869
1537997291.518443,8,0.12399999797344208
1537997291.5912013,10,0.1720000058412552
1537997291.6293685,11,0.18000000715255737
1537997291.667519,12,0.22200000286102295
1537997291.704228,13,0.17399999499320984
1537997291.7417448,14,0.20999999344348907
1537997291.7764506,15,0.1679999977350235
1537997291.8148289,16,0.19599999487400055
1537997291.852794,17,0.21199999749660492
1537997291.8898423,18,0.23199999332427979
1537997291.9275105,19,0.20399999618530273
1537997291.9647906,20,0.2160000056028366
1537997292.0388696,22,0.2160000056028366
1537997292.112818,24,0.2160000056028366
1537997292.1510715,25,0.2540000081062317
1537997292.3373654,30,0.27799999713897705
1537997292.374491,31,0.2840000092983246
1537997292.4134524,32,0.2980000078678131
1537997292.4504013,33,0.2680000066757202
1537997292.4873476,34,0.2879999876022339
1537997292.5618975,36,0.29600000381469727
1537997292.6739693,39,0.3059999942779541
1537997292.7123437,40,0.2919999957084656
1537997292.787413,42,0.2919999957084656
1537997292.8254564,43,0.30000001192092896
1537997292.862965,44,0.328000009059906
1537997292.8984945,45,0.3100000023841858
1537997292.9738586,47,0.37400001287460327
1537997293.050497,49,0.36000001430511475
1537997293.0886877,50,0.3540000021457672
1537997293.2002904,53,0.3400000035762787
1537997293.2384422,54,0.3840000033378601
1537997293.2760372,55,0.3959999978542328
1537997293.3138046,56,0.3499999940395355
1537997293.351383,57,0.40400001406669617
1537997293.4639375,60,0.41999998688697815
1537997293.500806,61,0.40400001406669617
1537997293.5750985,63,0.4440000057220459
1537997293.6486108,65,0.4659999907016754
1537997293.6876807,66,0.4339999854564667
1537997293.7227852,67,0.4740000069141388
1537997293.760812,68,0.4180000126361847
1537997293.7975836,69,0.47600001096725464
1537997293.8743017,71,0.45399999618530273
1537997293.9116871,72,0.4659999907016754
1537997293.948816,73,0.4860000014305115
1537997293.983629,74,0.47999998927116394
1537997294.0585022,76,0.47600001096725464
1537997294.1345267,78,0.4620000123977661
1537997294.1730738,79,0.4699999988079071
1537997294.2484286,81,0.5239999890327454
1537997294.3602295,84,0.4880000054836273
1537997294.3987777,85,0.492000013589859
1537997294.4364333,86,0.5239999890327454
1537997294.4756663,87,0.527999997138977
1537997294.5151477,88,0.5080000162124634
1537997294.5527492,89,0.49399998784065247
1537997294.6287208,91,0.5440000295639038
1537997294.7427304,94,0.5339999794960022
1537997294.9281955,99,0.5080000162124634
